V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,class
0.158773,0.486111,0.633333,0.571612,0.701554,0.48268,0.448555,0.0429363,0.484286,96.4717,91.0063,70.9018,54.2689,57.8554,62.8119,0.48928,0.702161,1.00351,61.3326,-1.55351,14.4259,20.7957,4.57721,12.5172,-0.828942,-0.247844,0.866895,54
0.0325694,0.127083,0.486111,0.350677,0.620961,0.0957821,0.413785,0.0682303,0.472787,205.856,196.379,194.619,61.4457,68.9587,68.5171,-1.25126,-0.945563,-0.899319,88.7366,2.07508,1.21779,14.8438,4.02725,3.61129,-1.38476,2.20124,0.643709,40
0.0155845,0.194444,0.104167,0.905892,0.33237,0.192745,0.084471,0.0776086,0.230571,83.8143,75.1563,48.231,22.1327,22.1486,23.8863,2.54758,2.56671,3.21678,60.574,-1.90755,16.3048,6.59586,2.23852,4.34221,1.51016,0.873124,-0.407242,91
0.0683507,0.229167,0.761111,0.368682,0.505963,0.143755,0.658752,0.0554568,0.608129,133.899,137.103,130.621,60.2886,55.3519,52.9438,-0.205555,-0.433352,-0.365083,75.6997,-1.76641,1.67347,15.3421,4.26064,5.63676,-1.00824,0.607751,0.896925,97
0.00734954,0.075,0.122222,0.541524,0.555387,0.0688905,0.106976,0.104724,0.198232,66.8606,65.1142,59.5961,7.84173,6.19683,7.6454,2.20859,-0.150629,-1.44318,57.5051,-0.437173,3.26464,2.40464,1.08414,3.27388,-0.857214,0.350747,2.02232,96
0.131655,0.433333,0.527778,0.158179,0.719349,0.378486,0.400518,0.0272088,0.424342,64.201,60.8322,58.6679,26.2356,24.6463,26.4808,0.16902,0.486028,0.640197,54.6631,0.58719,2.06653,10.5875,3.5864,4.31442,-0.678944,0.760264,-0.0751785,0
0.391603,0.938889,0.99375,0.387509,0.405259,1.02841,1.10481,0.0313585,0.580285,45.591,50.1241,32.1163,27.8733,29.1571,27.2594,1.95813,1.87629,3.21765,48.3529,-6.5905,13.316,11.4131,3.74709,9.79031,0.880948,-0.105912,0.308183,88
0.225833,0.65,0.583333,0.31756,0.688406,0.57655,0.443977,0.021474,0.404396,177.521,154.539,127.241,44.4264,50.1879,48.0749,-1.27976,-1.10938,-0.71677,81.1316,2.57538,11.2772,13.3854,4.68253,4.76636,-1.99424,2.97463,2.54354,0
0.00217593,0.0354167,0.0694444,0.628668,0.545338,0.032915,0.0666039,0.196809,0.115294,44.2793,33.9761,40.6197,18.7852,7.85685,5.17548,0.500856,0.22002,-0.890734,44.2971,6.66092,-3.63272,5.30056,3.61429,6.45527,0.18328,0.300414,-0.14731,96
0.0891551,0.327778,0.5375,0.405964,0.521187,0.22982,0.509418,0.0436194,0.493956,85.2952,72.2376,64.1563,65.3636,64.3017,55.1358,1.03256,1.30094,1.70296,54.796,5.15225,3.87284,21.4973,5.69761,9.10297,0.264322,0.331458,0.626008,55
0.351829,1.0,0.463889,0.522794,0.811491,1.05979,0.416992,0.0261366,0.241567,51.4787,119.039,145.216,39.4277,29.0578,27.3684,2.38632,1.95391,0.941394,70.0613,-15.3537,-14.9949,7.44992,4.58072,4.35564,1.26572,0.740611,1.62952,67
0.220631,1.0,0.28125,0.469103,0.883223,1.03183,0.253079,0.028459,0.215535,182.879,163.247,147.404,10.1439,11.8797,14.1501,-0.652024,-0.725127,-1.02932,84.5345,2.15961,6.01331,2.37935,0.663679,1.58463,-0.830801,2.59403,4.87178,39
0.189294,0.508333,0.522222,0.583453,0.686799,0.488534,0.418354,0.0300825,0.286929,114.609,99.0763,91.8934,62.2386,59.8365,54.1725,0.342629,0.504622,0.608172,65.933,4.21566,4.23787,17.3233,6.42792,9.92758,-0.051589,2.99731,-1.0809,40
0.099265,1.0,0.202778,0.356172,0.939015,0.894803,0.157255,0.060281,0.510474,114.929,116.823,120.824,13.1848,14.5741,17.3076,-0.725114,-0.690206,-0.694064,73.2335,0.0601173,-1.46775,3.82179,0.670927,1.54045,-0.846201,0.0941707,-0.111769,72
0.033397,0.11875,0.327778,0.593079,0.664386,0.108465,0.302785,0.0509444,0.141986,39.883,39.458,38.6455,16.3477,16.0487,15.2453,4.48176,4.44809,4.59284,45.5478,0.0511833,0.659668,6.58625,1.95357,3.34457,1.97286,1.00041,1.8589,25
0.023941,0.11875,0.341667,0.0442299,0.512582,0.0888433,0.308153,0.0795262,0.409927,123.717,145.031,156.833,59.132,47.051,48.9963,0.217424,-0.323038,-0.0851734,77.8742,-3.7163,-5.29533,11.9232,11.9955,7.31242,-1.21398,-0.392591,-0.609058,28
0.0583796,0.84375,0.225,0.38498,0.542712,0.81234,0.130602,0.0824742,0.692486,72.6812,79.721,84.3192,33.8115,35.0446,38.6922,2.30722,2.39987,1.92289,60.973,-1.62377,-2.38736,10.1863,2.50039,5.63037,0.79567,-2.27892,0.660396,85
0.410868,0.535417,0.988889,0.740983,0.530737,0.461022,0.911666,0.0154652,0.223998,134.785,122.799,136.941,68.5276,68.2281,67.6145,0.219965,0.601703,0.612501,72.8443,5.15932,-4.37371,16.3597,4.64212,7.26169,0.208056,1.28563,0.26178,20
0.323611,1.0,0.514583,0.520951,0.189451,1.14928,0.443273,0.0255365,0.37112,168.083,194.907,242.587,16.2285,19.3007,18.3843,-0.733067,-0.910804,-6.49829,89.5276,-0.208647,-12.7717,3.63499,1.46214,3.56541,-3.02805,-1.70621,5.86998,78
0.0489931,0.48125,0.133333,0.225038,0.94794,0.457246,0.113606,0.0640208,0.236472,40.4505,60.7837,66.1873,23.1193,21.2995,21.6078,0.888047,0.614954,0.558766,53.2176,-7.72514,-5.98832,8.88702,4.52295,3.38564,-0.0576093,0.874933,0.102079,91
0.232257,0.530556,0.797917,0.616061,0.604555,0.372472,0.688013,0.0284298,0.451369,96.7505,79.0255,60.7716,48.0036,38.9695,32.3121,0.689571,1.02801,2.19839,61.42,2.93792,10.4051,12.1048,3.4758,15.6171,0.373786,0.943574,0.901637,55
0.056956,0.4875,0.547222,0.157233,0.421847,0.509863,0.487669,0.0918512,0.786498,91.762,88.3444,71.958,16.6342,17.481,16.6833,-0.945101,-1.14162,-0.766416,64.9024,-1.50529,7.97386,6.04496,1.31854,2.23305,-1.85306,3.02173,2.34993,64
0.208588,0.854167,0.408333,0.534333,0.198301,0.825261,0.366391,0.0459161,0.401958,115.031,86.0185,35.0328,33.3154,30.2784,16.7576,0.891247,1.02538,1.3702,64.5419,0.870671,31.3952,8.89753,1.79259,3.88682,0.247761,0.317542,-0.348835,92
0.265918,0.560417,0.765625,0.21817,0.451822,0.509963,0.641803,0.0200269,0.380244,206.188,164.894,137.648,11.0966,13.3587,16.5733,-2.99538,-0.743365,0.531487,85.6065,5.02111,10.9363,2.63987,1.00769,2.37626,-1.86532,-0.828995,-1.14222,57
0.00222801,0.0375,0.0833333,0.292467,0.493074,0.0329179,0.0742508,0.194805,0.287037,112.977,137.857,149.338,26.1387,28.4537,32.9018,-1.07058,-0.99053,-0.828125,76.8971,-4.37878,-5.3804,7.46492,1.03639,1.50011,-1.57126,-1.48553,0.261396,3
0.324172,0.99375,0.644444,0.449768,0.49575,1.13788,0.496928,0.0280808,0.49381,89.8522,90.7905,100.676,38.9422,33.1236,32.1341,-0.0362435,-0.019563,-0.234762,64.9619,1.01554,-4.60894,10.8526,1.68764,6.07449,-0.320343,0.307667,0.896584,46
0.0680382,0.447222,0.1875,0.540851,0.593133,0.407851,0.168691,0.036659,0.188613,96.662,72.7015,67.7757,59.8692,52.8843,48.6943,0.505148,0.605925,0.718955,57.3694,8.50333,5.59609,19.001,9.432,9.80087,-0.055385,2.31487,0.323532,40
0.0334317,0.154167,0.225,0.0770819,0.581653,0.151843,0.218136,0.0508915,0.0362029,21.1596,21.203,20.448,33.5292,31.4094,26.5275,2.97306,2.88311,2.6757,25.843,0.63347,-1.041,19.9065,4.15932,10.597,0.863178,0.648004,0.237499,92
0.0600405,0.166667,0.6,0.942704,0.619341,0.132782,0.499094,0.0452048,0.399595,66.4175,37.9734,25.8302,15.0695,11.8905,8.3519,0.610882,1.63274,2.31473,47.6541,10.2741,14.9734,5.63545,2.51001,3.03524,0.698343,-0.322762,-0.0996169,16
0.063287,0.229167,0.588889,0.750827,0.647373,0.124803,0.653789,0.0567849,0.531046,91.1135,77.3574,60.5029,34.9715,34.3374,32.333,1.41655,1.47546,1.54159,61.1148,1.67717,10.6794,10.3161,2.05739,3.1684,0.714204,0.30164,1.30578,79
0.0269965,0.229167,0.155556,0.510162,0.834477,0.211571,0.134175,0.0625938,0.242695,156.363,152.039,136.911,56.0163,51.4239,52.3193,0.251498,0.261809,0.491692,80.274,-0.978185,5.22804,11.3817,4.31706,4.54299,-0.0952405,-1.18932,0.291809,83
