V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Class
1.3865,0.83152,-0.23966,1.1608,0.92316,0.76381,-1.121,-0.55397,-0.53969,-0.36924,1.0178,-0.34908,-0.20715,-1.8333,-0.14372,-0.16695,-0.10232,0.58673,1.192,-0.28811,0.56491,0.46166,-0.29152,0.38807,-0.43187,0.18967,0.21089,-0.078715,-0.12493,-0.3415,2.5475,-1.8333,-0.092482,-0.22559,-0.42105,-0.35232,-0.16436,-0.17456,-0.13322,0.5972,-0.15919,-0.16374,-0.11229,-0.47158,0.99018,-0.47393,-0.50257,-0.42226,-0.73026,-0.28582,0.82277,5
1.3865,0.83152,-0.23966,1.1608,0.92316,0.76381,-1.121,-0.55397,-0.53969,-0.36924,1.1693,-0.37547,-0.27986,-1.6345,-0.15828,-0.47937,-0.080971,1.5308,1.9524,1.8491,0.63654,1.7839,-0.13657,1.8307,-0.17651,1.5393,1.0079,0.32785,0.16149,-0.44033,2.3581,-1.6345,-0.092482,1.0089,-0.42105,-0.35232,-0.10399,0.007207,-0.0523,0.5972,-0.09875,-0.16374,-0.11229,-0.38295,0.99018,-0.54541,-0.35835,-0.24231,-0.58574,-0.46486,0.73193,5
2.0094,0.83152,-0.80686,2.4681,2.1944,-0.48905,-1.7638,-0.82637,-0.70995,-0.23316,0.36153,-0.26992,-0.29325,-2.3304,-0.24351,-1.1861,-0.12865,0.58673,0.41921,-0.28811,-0.47803,0.020912,0.4126,-0.23706,0.76642,0.18967,0.14262,-0.13486,-0.13714,2.7222,1.2213,-2.3304,-0.092482,-0.22559,0.58034,0.2908,0.20736,-0.10016,0.058681,-0.26431,0.20771,-0.16374,-0.11229,2.4111,0.99018,-0.54541,2.4793,2.2704,2.2579,-0.46486,-2.1318,6
-1.102,0.22285,-0.98026,-1.0613,-1.2377,-0.7107,1.3805,3.3958,7.4916,-0.7775,-0.85189,1.2025,6.4189,0.75143,6.6812,-1.2305,-0.1583,-1.8914,-2.5042,-0.28811,-0.3705,0.020912,0.089852,-0.4775,-0.47601,-0.908,-1.6514,-0.11823,-0.26261,-0.44033,-0.67335,0.75143,-0.092482,-0.22559,-0.42105,-0.35232,-0.39417,-0.61345,-0.37137,-0.26431,-0.38931,-0.16374,-0.11229,-0.57834,0.62307,-0.54541,-0.55678,-0.4899,-0.78459,-0.28026,0.87578,1
-0.41562,0.17758,2.7381,-0.99673,-0.66237,4.5046,-1.1708,-0.28157,0.16808,-0.50533,-0.72933,-0.26992,0.037867,0.75143,2.035,-0.92725,-0.15809,0.58673,-0.95115,-0.28811,-0.29508,-1.081,-1.0215,-0.4775,-0.58088,-0.59275,-0.83229,-0.11823,-0.27422,-0.44033,-0.67335,0.75143,-0.092482,-0.22559,-0.42105,-0.35232,-0.31474,-0.28005,-0.27079,-0.26431,-0.31402,0.51981,-0.11229,-0.24556,0.42027,3.4576,-0.55678,-0.4899,-0.29664,6.1185,-1.571,3
2.0094,0.83152,-0.51883,2.181,1.9153,0.14717,-1.7638,-0.82637,-0.70995,-0.50533,0.12805,-0.37547,-0.40045,-2.1315,-0.13409,-1.414,0.019651,0.58673,0.41921,-0.28811,-0.47803,1.1228,1.003,1.6864,1.3125,1.2459,0.7386,0.18124,0.18244,5.2918,-0.67335,-2.1315,-0.092482,-0.22559,-0.42105,-0.35232,1.0673,0.66459,0.37428,-0.26431,1.0741,-0.16374,-0.11229,2.4111,0.99018,-0.54541,2.4793,3.2982,2.2579,-0.46486,-2.1318,4
-0.51839,0.43125,-0.4986,-0.3662,-0.45718,-0.70184,0.68166,-0.28157,-0.20409,2.3525,0.99424,1.3608,0.25816,0.75143,-0.18107,0.33289,-0.15773,0.58673,0.099698,-0.28811,-0.24888,-1.4776,-1.1406,-0.4775,-0.51611,-0.91991,-0.81087,-0.11823,-0.26555,-0.44033,-0.67335,0.75143,0.050869,-0.22559,-0.42105,-0.35232,-0.28297,-0.3488,-0.23842,-0.26431,-0.28008,-0.16374,0.026975,-0.42305,0.307,-0.1815,-0.39907,-0.34231,-0.34995,-0.26955,0.43479,6
0.34346,0.51037,0.74717,0.31527,0.10093,-0.11574,-0.044676,-0.28157,-0.20509,-0.64141,-0.67552,-0.33588,-0.28595,0.5029,-0.17255,-0.06361,-0.14822,0.58673,0.053116,0.35305,0.26631,0.020912,-0.1141,-0.4775,-0.44674,0.18967,0.13936,-0.1004,-0.063848,-0.44033,-0.35758,0.5029,-0.092482,-0.22559,-0.42105,-0.35232,-0.099757,0.17014,-0.069641,-0.26431,-0.094509,-0.16374,-0.11229,-0.56376,-0.58258,0.3333,-0.54197,-0.47142,-0.26514,-0.46486,0.40907,6
2.0094,0.83152,0.25664,1.4081,1.1637,1.8601,-1.7638,-0.82637,-0.70995,-0.36924,1.6741,-0.33325,-0.07626,-1.883,-0.29524,-1.1125,-0.086872,0.58673,0.41921,-0.28811,-0.47803,0.020912,-1.1319,0.38807,-0.20998,-0.071134,-0.55936,-0.10436,-0.29623,1.7339,1.2844,-1.883,-0.092482,-0.22559,6.3884,4.0209,0.98575,0.59207,0.41474,-0.26431,0.95637,-0.16374,-0.11229,2.4111,0.99018,-0.49832,2.4436,2.9417,2.2221,-0.34691,-2.1318,3
-0.23311,-0.089095,-0.23966,-0.32319,0.057307,0.10606,-0.092514,-0.41777,-0.06294,-0.64141,-0.69861,-0.33588,-0.27889,-1.2368,-0.1288,0.88578,-0.15449,0.58673,0.084501,0.51334,-0.17101,0.75548,0.53649,0.48425,0.90551,0.18967,0.26525,-0.073664,0.079228,-0.3415,1.7897,-1.2368,0.33757,-0.22559,-0.42105,-0.35232,-0.25226,-0.28476,-0.21761,-0.26431,-0.26736,0.51981,0.93223,-0.57834,-1.1957,-0.54541,-0.55678,-0.4899,0.76245,1.9143,-1.3528,6
