V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,class
9827.0,617.0,10000.0,-4499.0,-270.0,10000.0,-237.0,4485.0,58.0,102.0,7705.0,717.0,-6602.0,0,2061.0,9891.0,9958.0,-1823.0,-1282.0,292.0,116.0,10000.0,-1488.0,-3046.0,-107.0,-30.0,0,5154.0,6602.0,4777.0,275.0,9306.0,0,88.0,0,173.0,0,7511.0,347.0,351.0,1117.0,-1899.0,-210.0,-309.0,79.0,-665.0,10000.0,-3051.0,48.0,2379.0,6741.0,105.0,8,0,9861.0,241.0,-270.0,227.0,-683.0,34.0,7
8435.0,-2573.0,10000.0,5650.0,58.0,10000.0,1104.0,-7112.0,456.0,146.0,5987.0,2660.0,-3765.0,0,-4790.0,4030.0,10000.0,452.0,997.0,-21.0,435.0,10000.0,-2780.0,313.0,201.0,186.0,0,2874.0,5421.0,-229.0,-246.0,9880.0,0,344.0,0,1565.0,0,9264.0,-422.0,2364.0,9977.0,-4309.0,1731.0,-544.0,-150.0,-7916.0,8011.0,-6943.0,430.0,-802.0,6354.0,168.0,10,0,6011.0,-17345.0,-2819.0,1244.0,217.0,-31.0,159
8571.0,3149.0,10000.0,-674.0,233.0,10000.0,74.0,-164.0,-605.0,213.0,5333.0,-303.0,-8094.0,0,-8.0,10000.0,5581.0,519.0,-2582.0,-260.0,-128.0,8981.0,4724.0,595.0,152.0,-34.0,0,1709.0,8591.0,-819.0,-252.0,9543.0,0,1514.0,0,1429.0,0,5873.0,-739.0,-143.0,-137.0,-85.0,-529.0,-665.0,267.0,241.0,10000.0,-1355.0,-106.0,-1459.0,8000.0,108.0,7,0,10000.0,181.0,29.0,334.0,-35.0,-139.0,223
7407.0,1364.0,10000.0,-14941.0,-101.0,10000.0,-6143.0,-14387.0,106.0,84.0,7236.0,-4974.0,-9858.0,0,-23422.0,3751.0,5618.0,13495.0,-451.0,952.0,491.0,10000.0,-8608.0,15348.0,41.0,68.0,0,-1913.0,5568.0,-15428.0,1209.0,6136.0,0,1179.0,0,2593.0,0,1682.0,-370.0,876.0,15814.0,-6182.0,-2374.0,-931.0,11.0,10020.0,7357.0,12872.0,-139.0,7283.0,7490.0,-1897.0,12,0,6237.0,13990.0,-3048.0,346.0,-4911.0,138.0,200
9099.0,890.0,10000.0,307.0,-42.0,10000.0,-44.0,-256.0,343.0,-59.0,6649.0,-71.0,-5938.0,0,387.0,10000.0,7030.0,-6.0,-665.0,-214.0,471.0,8938.0,217.0,2.0,-12.0,161.0,0,4228.0,9930.0,-64.0,329.0,10000.0,0,660.0,0,901.0,0,8046.0,-391.0,51.0,3506.0,-7.0,-501.0,-859.0,-217.0,1450.0,10000.0,-2272.0,106.0,-71.0,7068.0,-155.0,8,0,4423.0,2152.0,224.0,200.0,-27.0,-19.0,276
8963.0,-2337.0,10000.0,2715.0,396.0,10000.0,1256.0,-7008.0,449.0,45.0,6487.0,1784.0,-4163.0,0,-5793.0,5658.0,8591.0,5211.0,928.0,95.0,-234.0,10000.0,-21991.0,4575.0,-107.0,233.0,0,3747.0,3237.0,2274.0,478.0,9232.0,0,-225.0,0,1037.0,0,9092.0,590.0,1894.0,930.0,18.0,1693.0,-285.0,257.0,-1192.0,9124.0,-5557.0,-80.0,-3974.0,5860.0,56.0,11,0,8761.0,-1575.0,-501.0,649.0,204.0,-78.0,49
8264.0,-846.0,10000.0,8763.0,-351.0,10000.0,-3166.0,23048.0,-208.0,-193.0,6772.0,-1303.0,-7380.0,0,21242.0,8624.0,9091.0,-18070.0,1272.0,234.0,-666.0,10000.0,-60386.0,-27251.0,-37.0,552.0,0,-656.0,7645.0,-3992.0,1201.0,8825.0,0,3167.0,0,1736.0,0,6748.0,-334.0,-386.0,439.0,-9862.0,5980.0,-530.0,440.0,2690.0,9594.0,-4552.0,148.0,17983.0,8476.0,1817.0,8,0,9317.0,1650.0,-340.0,424.0,-2825.0,172.0,87
7079.0,1385.0,10000.0,3223.0,175.0,10000.0,-2253.0,-9567.0,760.0,-256.0,6935.0,-1176.0,-8249.0,0,-16128.0,9232.0,5335.0,1984.0,-452.0,-84.0,857.0,7031.0,-1647.0,1447.0,-70.0,503.0,0,2084.0,4062.0,730.0,1308.0,7792.0,0,-118.0,0,2921.0,0,5652.0,375.0,-1668.0,4166.0,-3331.0,478.0,-1675.0,169.0,36397.0,10000.0,-5611.0,-306.0,12984.0,6192.0,89.0,11,0,6708.0,48634.0,-8290.0,-944.0,-3602.0,-112.0,62
8417.0,70.0,10000.0,43.0,393.0,10000.0,55.0,18.0,50.0,77.0,5792.0,14.0,-8027.0,0,307.0,8456.0,5348.0,157.0,146.0,221.0,-87.0,9554.0,-3213.0,93.0,17.0,-110.0,0,2506.0,9978.0,722.0,121.0,10000.0,0,-1970.0,0,1583.0,0,5964.0,385.0,156.0,192.0,501.0,-187.0,-949.0,120.0,-226.0,10000.0,-2565.0,-151.0,677.0,6317.0,-350.0,8,0,8030.0,20.0,42.0,109.0,37.0,-36.0,245
6838.0,-102.0,10000.0,27063.0,502.0,10000.0,1015.0,-3438.0,530.0,194.0,5644.0,-1338.0,-3326.0,0,17451.0,8794.0,6890.0,-170.0,1131.0,610.0,4.0,7373.0,40726.0,-18660.0,57.0,-210.0,0,1272.0,7478.0,2064.0,-173.0,7667.0,0,4321.0,0,3162.0,0,9431.0,-521.0,2401.0,4656.0,-15887.0,-6870.0,-1515.0,200.0,-2103.0,10000.0,5963.0,-174.0,-14219.0,9895.0,640.0,9,0,5355.0,3355.0,-3408.0,-348.0,-2383.0,-60.0,132
